Time in Milliseconds, Duration from start, Key
1588716820782,63017,e
1588716820826,63061, 
1588716820948,63183,l
1588716821032,63267,e
1588716821126,63361,t
1588716821315,63550,'
1588716821411,63646,s
1588716821541,63776, 
1588716821642,63877,s
1588716821706,63941,e
1588716821872,64107,e
1588716821959,64194, 
1588716822059,64294,i
1588716822091,64326,f
1588716822242,64477, 
1588716822315,64550,r
1588716822411,64646,e
1588716822554,64789,g
1588716822683,64918,i
1588716822764,64999,s
1588716822826,65061,t
1588716822948,65183,e
1588716823043,65278,r
1588716823248,65483,d
1588716823490,65725, 
1588716824032,66267,t
1588716824120,66355,h
1588716824183,66418,e
1588716824272,66507, 
1588716824422,66657,s
1588716824531,66766,h
1588716824606,66841,f
1588716824622,66857,i
1588716824836,67071,t
1588716824955,67190, 
1588716825181,67416,m
1588716825386,67621,u
1588716825533,67768,l
1588716825697,67932,t
1588716825780,68015,i
1588716825856,68091,p
1588716826031,68266,l
1588716826097,68332,e
1588716826215,68450, 
1588716826323,68558,t
1588716826386,68621,i
1588716826452,68687,m
1588716826520,68755,e
1588716826640,68875,s
1588716826727,68962, 
1588716826798,69033,n
1588716826880,69115,o
1588716826983,69218,w
1588716827023,69258, 
1588716827152,69387,i
1588716827214,69449, 
1588716827431,69666,k
1588716827503,69738,n
1588716827582,69817,o
1588716827682,69917,w
1588716827837,70072, 
1588716828266,70501,i
1588716828340,70575, 
1588716828438,70673,t
1588716829347,71582, 
1588716829492,71727,d
1588716829592,71827,i
1588716829676,71911,d
1588716829788,72023, 
1588716829856,72091,n
1588716829940,72175,o
1588716829976,72211,t
1588716830073,72308, 
1588716830464,72699,o
1588716831493,73728,r
1588716831582,73817, 
1588716831649,73884,h
1588716831839,74074,m
1588716832058,74293,m
1588716832207,74442, 
1588716832397,74632,l
1588716832499,74734,e
1588716832558,74793,t
1588716832658,74893,'
1588716832757,74992,s
1588716832869,75104, 
1588716832994,75229,s
1588716833058,75293,e
1588716833236,75471,e
1588716833337,75572, 
1588716833464,75699,b
1588716833590,75825,l
1588716833687,75922,a
1588716833923,76158,e
1588716834144,76379,h
